#,Accuracy,TPR,TNR,PPV,NPV
  0,0.7500,0.3750,0.9000,0.6000,0.7826
  1,0.7679,0.4375,0.9000,0.6364,0.8000
  2,0.7321,0.3750,0.8750,0.5455,0.7778
  3,0.6607,0.1875,0.8500,0.3333,0.7234
  4,0.6786,0.1875,0.8750,0.3750,0.7292
  5,0.7679,0.3125,0.9500,0.7143,0.7755
  6,0.7143,0.1875,0.9250,0.5000,0.7400
  7,0.7679,0.3125,0.9500,0.7143,0.7755
  8,0.8036,0.3750,0.9750,0.8571,0.7959
  9,0.6607,0.1875,0.8500,0.3333,0.7234
 10,0.7500,0.3125,0.9250,0.6250,0.7708
 11,0.6786,0.2500,0.8500,0.4000,0.7391
 12,0.6786,0.1875,0.8750,0.3750,0.7292
 13,0.7857,0.3125,0.9750,0.8333,0.7800
 14,0.7321,0.3125,0.9000,0.5556,0.7660
 15,0.6786,0.3750,0.8000,0.4286,0.7619
 16,0.7143,0.1250,0.9500,0.5000,0.7308
 17,0.7857,0.3750,0.9500,0.7500,0.7917
 18,0.7857,0.3750,0.9500,0.7500,0.7917
 19,0.6786,0.2500,0.8500,0.4000,0.7391
 20,0.7857,0.3125,0.9750,0.8333,0.7800
 21,0.7857,0.4375,0.9250,0.7000,0.8043
 22,0.7143,0.3125,0.8750,0.5000,0.7609
 23,0.7500,0.3750,0.9000,0.6000,0.7826
 24,0.7500,0.3125,0.9250,0.6250,0.7708
 25,0.6964,0.3125,0.8500,0.4545,0.7556
 26,0.7857,0.3750,0.9500,0.7500,0.7917
 27,0.7679,0.4375,0.9000,0.6364,0.8000
 28,0.7500,0.3750,0.9000,0.6000,0.7826
 29,0.7143,0.3125,0.8750,0.5000,0.7609
 30,0.7321,0.3125,0.9000,0.5556,0.7660
 31,0.7321,0.1250,0.9750,0.6667,0.7358
 32,0.6607,0.3750,0.7750,0.4000,0.7561
 33,0.7857,0.3750,0.9500,0.7500,0.7917
 34,0.7679,0.5625,0.8500,0.6000,0.8293
 35,0.7679,0.3125,0.9500,0.7143,0.7755
 36,0.7857,0.3750,0.9500,0.7500,0.7917
 37,0.8393,0.5000,0.9750,0.8889,0.8298
 38,0.7679,0.2500,0.9750,0.8000,0.7647
 39,0.6786,0.1250,0.9000,0.3333,0.7200
 40,0.6964,0.0625,0.9500,0.3333,0.7170
 41,0.7679,0.3750,0.9250,0.6667,0.7872
 42,0.6786,0.3125,0.8250,0.4167,0.7500
 43,0.6964,0.3125,0.8500,0.4545,0.7556
 44,0.7500,0.3125,0.9250,0.6250,0.7708
 45,0.7679,0.3125,0.9500,0.7143,0.7755
 46,0.7679,0.2500,0.9750,0.8000,0.7647
 47,0.7143,0.4375,0.8250,0.5000,0.7857
 48,0.6786,0.2500,0.8500,0.4000,0.7391
 49,0.7143,0.3125,0.8750,0.5000,0.7609
 50,0.7321,0.3125,0.9000,0.5556,0.7660
 51,0.7321,0.1250,0.9750,0.6667,0.7358
 52,0.6964,0.3750,0.8250,0.4615,0.7674
 53,0.7321,0.1875,0.9500,0.6000,0.7451
 54,0.7321,0.2500,0.9250,0.5714,0.7551
 55,0.7143,0.1875,0.9250,0.5000,0.7400
 56,0.7143,0.2500,0.9000,0.5000,0.7500
 57,0.7143,0.3125,0.8750,0.5000,0.7609
 58,0.7321,0.2500,0.9250,0.5714,0.7551
 59,0.6964,0.3125,0.8500,0.4545,0.7556
 60,0.7321,0.4375,0.8500,0.5385,0.7907
 61,0.7321,0.4375,0.8500,0.5385,0.7907
 62,0.7321,0.2500,0.9250,0.5714,0.7551
 63,0.7321,0.2500,0.9250,0.5714,0.7551
 64,0.7679,0.2500,0.9750,0.8000,0.7647
 65,0.7143,0.3750,0.8500,0.5000,0.7727
 66,0.6786,0.1875,0.8750,0.3750,0.7292
 67,0.7143,0.3125,0.8750,0.5000,0.7609
 68,0.6429,0.3750,0.7500,0.3750,0.7500
 69,0.6964,0.1875,0.9000,0.4286,0.7347
 70,0.8036,0.5000,0.9250,0.7273,0.8222
 71,0.7500,0.2500,0.9500,0.6667,0.7600
 72,0.7143,0.1250,0.9500,0.5000,0.7308
 73,0.7321,0.2500,0.9250,0.5714,0.7551
 74,0.6429,0.0625,0.8750,0.1667,0.7000
 75,0.7500,0.2500,0.9500,0.6667,0.7600
 76,0.7143,0.3125,0.8750,0.5000,0.7609
 77,0.6429,0.2500,0.8000,0.3333,0.7273
 78,0.7321,0.3125,0.9000,0.5556,0.7660
 79,0.7857,0.5000,0.9000,0.6667,0.8182
 80,0.6786,0.2500,0.8500,0.4000,0.7391
 81,0.7143,0.3125,0.8750,0.5000,0.7609
 82,0.7321,0.3125,0.9000,0.5556,0.7660
 83,0.7679,0.3125,0.9500,0.7143,0.7755
 84,0.7857,0.4375,0.9250,0.7000,0.8043
 85,0.7857,0.3125,0.9750,0.8333,0.7800
 86,0.7321,0.1875,0.9500,0.6000,0.7451
 87,0.7679,0.3125,0.9500,0.7143,0.7755
 88,0.7321,0.3125,0.9000,0.5556,0.7660
 89,0.6786,0.2500,0.8500,0.4000,0.7391
 90,0.7321,0.3125,0.9000,0.5556,0.7660
 91,0.6964,0.2500,0.8750,0.4444,0.7447
 92,0.6429,0.0625,0.8750,0.1667,0.7000
 93,0.7679,0.4375,0.9000,0.6364,0.8000
 94,0.7857,0.3750,0.9500,0.7500,0.7917
 95,0.7679,0.1875,1.0000,1.0000,0.7547
 96,0.8750,0.5625,1.0000,1.0000,0.8511
 97,0.7321,0.3750,0.8750,0.5455,0.7778
 98,0.7679,0.3125,0.9500,0.7143,0.7755
 99,0.8214,0.4375,0.9750,0.8750,0.8125
